	wrapperType	artistType	artistName	artistLinkUrl	artistId	amgArtistId	primaryGenreName	primaryGenreId	collectionType	collectionId	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate
68	collection		Louis Armstrong		518462	52456.0	Jazz		Album	255376078.0	Sings and Swings (Bluebird's Best Series) [Remastered]	Sings and Swings (Bluebird's Best Series) [Remastered]	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/sings-and-swings-bluebirds-best-series-remastered/255376078?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/69/2a/03/692a0310-b31d-a40b-0a6c-34783a10d9e9/dj.rlczsrfb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/69/2a/03/692a0310-b31d-a40b-0a6c-34783a10d9e9/dj.rlczsrfb.jpg/100x100bb.jpg	9.99	notExplicit	15.0	℗ 2002 BMG	USA	USD	2002-07-26T07:00:00Z
69	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1394391664.0	Louis Armstrong: Sparks, Nevada 1964! (Live)	Louis Armstrong: Sparks, Nevada 1964! (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-sparks-nevada-1964-live/1394391664?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/94/8f/ae/948fae5e-f3d3-c54c-9020-fff9ead906a9/604043801121_cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/94/8f/ae/948fae5e-f3d3-c54c-9020-fff9ead906a9/604043801121_cover.jpg/100x100bb.jpg	9.99	notExplicit	11.0	℗ 2018 Dot Time Legends	USA	USD	2018-06-22T07:00:00Z
70	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1443216450.0	Satchmo at Symphony Hall (65th Anniversary - The Complete Performances)	Satchmo at Symphony Hall (65th Anniversary - The Complete Performances)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-symphony-hall-65th-anniversary-the/1443216450?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/42/67/6f/42676f37-a3dc-a6a2-b584-5218f39cbf7e/00602537159062.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/42/67/6f/42676f37-a3dc-a6a2-b584-5218f39cbf7e/00602537159062.rgb.jpg/100x100bb.jpg	14.99	notExplicit	30.0	This Compilation ℗ 2012 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2012-01-01T08:00:00Z
71	collection		Louis Armstrong		518462	52456.0	Jazz		Album	268465837.0	A 100th Birthday Celebration (Remastered 1996)	A 100th Birthday Celebration (Remastered 1996)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/a-100th-birthday-celebration-remastered-1996/268465837?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/34/7e/d5/mzi.nigalswe.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/34/7e/d5/mzi.nigalswe.jpg/100x100bb.jpg	-1.0	notExplicit	30.0	℗ 2000 BMG Entertainment	USA	USD	2000-05-26T07:00:00Z
72	collection		Louis Armstrong & The Louis Armstrong Orchestra		518462	52456.0	Jazz		Album	190308986.0	The Great American Songbook	The Great American Songbook	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-american-songbook/190308986?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/63/b6/da/dj.btxnuxhb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/63/b6/da/dj.btxnuxhb.jpg/100x100bb.jpg	-1.0	notExplicit	14.0	℗ Originally released 1929, 1930, 1931, 1932, 1933, 1947, 1957, 1958. All rights reserved by SONY BMG MUSIC ENTERTAINMENT.(P) Recorded Prior to 1972.  All Rights Reserved by Flying Dutchman.	USA	USD	2006-08-25T07:00:00Z
73	collection		Louis Armstrong		518462	52456.0	Jazz		Album	193653292.0	Louis In New York, Vol. 5	Louis In New York, Vol. 5	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-in-new-york-vol-5/193653292?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/db/bd/e5/mzi.emjtgcij.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/db/bd/e5/mzi.emjtgcij.jpg/100x100bb.jpg	9.99	notExplicit	19.0	℗ 1990 CBS Records Inc.	USA	USD	1990-09-21T07:00:00Z
74	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1452819264.0	Satchmo - A Musical Autobiography	Satchmo - A Musical Autobiography	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-a-musical-autobiography/1452819264?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cb/92/39/cb923972-d770-19aa-fbc3-b1d3b4ea9e14/00731454382229.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cb/92/39/cb923972-d770-19aa-fbc3-b1d3b4ea9e14/00731454382229.rgb.jpg/100x100bb.jpg	24.99	notExplicit	99.0	This Compilation ℗ 2001 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1957-01-01T00:00:00Z
75	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1445098760.0	An American Songbook	An American Songbook	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/an-american-songbook/1445098760?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7d/70/0d/7d700d43-38ef-c1e3-8312-56e69e5d65e6/00602577174940.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7d/70/0d/7d700d43-38ef-c1e3-8312-56e69e5d65e6/00602577174940.rgb.jpg/100x100bb.jpg	9.99	notExplicit	12.0	A Verve Label Group Release; This Compilation ℗ 1991 UMG Recordings, Inc.	USA	USD	1991-10-22T07:00:00Z
76	collection		Louis Armstrong & Fletcher Henderson		518462	52456.0	Jazz		Album	1532441659.0	Fletcher Henderson and Louis Armstrong 1924-1925	Fletcher Henderson and Louis Armstrong 1924-1925	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/fletcher-henderson-and-louis-armstrong-1924-1925/1532441659?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/5c/e1/81/5ce181ee-31e5-8d38-7959-559d27d28329/194491160777.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/5c/e1/81/5ce181ee-31e5-8d38-7959-559d27d28329/194491160777.jpg/100x100bb.jpg	9.99	notExplicit	26.0	℗ 1991 Timeless Records	USA	USD	1991-01-01T00:00:00Z
77	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1443725249.0	Satchmo at Pasadena (Live)	Satchmo at Pasadena (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-pasadena-live/1443725249?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/5b/ae/94/5bae948c-dc9e-d839-2ada-6ea5a7a149b1/08UMGIM27849.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/5b/ae/94/5bae948c-dc9e-d839-2ada-6ea5a7a149b1/08UMGIM27849.rgb.jpg/100x100bb.jpg	9.99	notExplicit	10.0	℗ 2008 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1951-06-01T07:00:00Z
